product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Básico Producto 1,Descripción detallada del producto 1,1,3,1,286.35,157.49,49.3,true,2023-12-09,2026-01-24
2,SKU-000002,Ultra Pack 2,Descripción detallada del producto 2,8,10,7,244.85,129.77,9.1,true,2023-08-24,2025-06-16
3,SKU-000003,Max Artículo 3,Descripción detallada del producto 3,9,14,3,326.31,195.79,4.1,true,2023-06-15,2025-09-04
4,SKU-000004,Super Dispositivo 4,Descripción detallada del producto 4,9,1,2,441.08,242.59,39.2,true,2023-06-17,2025-09-19
5,SKU-000005,Smart Dispositivo 5,Descripción detallada del producto 5,7,10,6,90.54,61.57,25.8,true,2023-01-19,2025-09-02
6,SKU-000006,Super Widget 6,Descripción detallada del producto 6,1,3,2,30.35,13.05,21.7,true,2022-11-08,2024-01-27
7,SKU-000007,Ultra Artículo 7,Descripción detallada del producto 7,7,2,7,181.33,123.3,37.7,true,2023-01-09,2024-02-26
8,SKU-000008,Smart Set 8,Descripción detallada del producto 8,6,9,4,157.69,93.04,38.9,true,2023-01-09,2024-06-23
9,SKU-000009,Básico Equipo 9,Descripción detallada del producto 9,4,3,3,191.86,126.63,1.3,true,2022-07-13,2026-01-05
10,SKU-000010,Elite Herramienta 10,Descripción detallada del producto 10,3,1,1,160.25,83.33,25.7,true,2023-08-25,2025-06-18
11,SKU-000011,Mini Dispositivo 11,Descripción detallada del producto 11,7,6,4,390.02,237.91,11.1,true,2022-04-25,2025-10-02
12,SKU-000012,Ultra Dispositivo 12,Descripción detallada del producto 12,7,9,2,394.35,260.27,47.9,true,2022-06-07,2025-10-23
13,SKU-000013,Premium Herramienta 13,Descripción detallada del producto 13,1,12,4,98.71,39.48,20.1,false,2022-03-27,2025-10-22
14,SKU-000014,Premium Set 14,Descripción detallada del producto 14,5,4,5,495.44,227.9,22,true,2022-11-06,2025-09-25
15,SKU-000015,Pro Artículo 15,Descripción detallada del producto 15,10,2,8,42.15,18.12,29.9,true,2023-10-30,2026-02-09
16,SKU-000016,Mega Kit 16,Descripción detallada del producto 16,5,12,4,487.95,341.57,47.5,true,2023-08-25,2025-11-26
17,SKU-000017,Premium Kit 17,Descripción detallada del producto 17,7,5,5,499.02,209.59,41.8,true,2023-01-20,2024-04-04
18,SKU-000018,Básico Kit 18,Descripción detallada del producto 18,10,2,4,199.05,101.52,13.4,true,2022-09-27,2024-12-01
19,SKU-000019,Elite Equipo 19,Descripción detallada del producto 19,3,9,4,206.82,117.89,24.9,false,2022-09-02,2025-07-07
20,SKU-000020,Mega Producto 20,Descripción detallada del producto 20,2,14,2,214.09,92.06,26.5,true,2022-10-30,2024-09-27
